title,author,year_published,subjects,edition_count,open_library_key,queried_author,description
Out of the Dark Night: Essays on Decolonization,Achille Mbembe,,,17,/book/show/44055182-out-of-the-dark-night,Achille Mbembe,"Originally published in French as: Sortir de la grande nuit, copyright � 2010, Editions La D�ecouverte."
The Earthly Community,Achille Mbembe,,,15,/book/show/105171461-the-earthly-community,Achille Mbembe,"Historian and political theorist Achille Mbembe explores what remains of the human subject in an age when the instrumentality of reason is carried out by and through information machines and technologies of calculation. In ‘The Earthly Community’ he discusses who will define the threshold or set the boundary that distinguishes between the calculable and the incalculable, between that which is deemed worthy and that which is deemed worthless, and therefore dispensable. Are we capable of inventing different modes of measuring that might open up the possibility of a different aesthetics, an alternative politics of inhabiting the Earth, of repairing and sharing the planet?"
Study Guide: Necropolitics by Achille Mbembe,SuperSummary,,,2,/book/show/220887323-study-guide,Achille Mbembe,"Analyzing literature can be hard — we make it easy! This in-depth study guide offers summaries & analyses for all 6 chapters of Necropolitics by Achille Mbembe. Get more out of your reading experience and build confidence with study guides proven raise students’ grades, save teachers time, and spark dynamic book discussions. SuperSummary Study Guides are written by experienced educators and literary scholars with advanced degrees in relevant fields. Here's what's Chapter-by-chapter summaries — Refresh your memory of key events and big ideas Comprehensive literary analysis — Unlock underlying meaning Examination of key figures in the text — Follow character arcs from tragedy to triumph Discussion of themes, symbols & motifs — Connect the dots among recurring ideas Important quotes with explanations — Appreciate the meaning behind the words Essay & discussion topics — Discover writing prompts and conversation starters Who uses SuperSummary Study Boost critical thinking skills — and grade averages — while decreasing stress Save hours of prep time and create engaging lessons and assignments Book club Gain confidence in discussing literary analysis and lead more thoughtful book chats All Better understand (and enjoy) the books you read Why customers love SuperSummary Study 96% of students report earning a higher grade thanks to our study guides 98% of educators tell us that SuperSummary study guides save them time 99% of book club members credit our guides with improving club discussions 94% of readers say they find everything they need in SuperSummary study guides What SuperSummary customers “I was taking a very fast paced class. I had to read 5 novels within 5 weeks so the chapter summaries really helped. I ended up getting an A-B on every paper I wrote! I recommend SuperSummary to all my college friends.” — Annabell C., College Student “I use SuperSummary to supplement my own lesson planning designs. I particularly like the discussion questions/essay questions offered, as well as the summary of events and then interpretation/meaning of a section.” — Adrienne B., Middle School Teacher “I started a book club and wanted some reference material. SuperSummary helped me lead a productive discussion , get ideas for questions and gain a deeper understanding of the material.” — Laura D., Book Club Member “ I needed a quick clarification of my own understanding of a novel before discussing it with my students. SuperSummary guides are easy to maneuver — everything is labeled and well-organized. — Stella I."
ACHILLE MBEMBE : LE DEVENIR-NEGRE DU MONDE,NYENYEZI AYMAR,,,1,/book/show/196265420-achille-mbembe,Achille Mbembe,"Ce livre collectif présente et travaille la pensée d'Achille Mbembe, un représentant majeur de l’école afro-critique. Une pensée qui cherche constamment à se défaire du piège identitaire mais ne sous-estime pas le désir d’ancrage et de territoire... La tradition critique occidentale s'est pendant très longtemps privée d’une ressource essentielle pour penser et agir. Il s’agit de l’école afro-critique, une tradition critique développée par des penseurs africains et afro-descendants à partir de l’expérience coloniale, et aujourd’hui indispensable pour comprendre les formes contemporaines de violence, qu’elles soient liées à la globalisation, à l’autoritarisme, au néolibéralisme ou encore à la résurgence des extrémismes de tout genre. Ce livre collectif présente et travaille la pensée d’Achille Mbembe, un représentant majeur de l’école afro-critique. Une pensée qui cherche constamment à se défaire du piège identitaire mais ne sous-estime pas le désir d’ancrage et de territoire. Une pensée qui ne cesse de garder les yeux ouverts sur le futur, sans pour autant céder aux sirènes du pessimisme. Une pensée exigeante et libre, profondément originale, mélange d’éclats et d’opacité. Ce livre est une invitation à la rencontre et au dialogue, sur les traces de l’un des grands penseurs de notre temps. Achille Mbembe a reçu en octobre 2017 le titre de docteur honoris causa de l’Institut d’analyse du changement dans l’histoire et les sociétés contemporaines (IACCHOS, UCLouvain)."
"Emmanuel Macron, Achille Mbembe et la Françafrique",Benoit Elie Awazi Mbambi Kungua,,,1,/book/show/216479266-emmanuel-macron-achille-mbembe-et-la-fran-afrique,Achille Mbembe,"Alors qu'Emmanuel Macron avait commencé son quinquennat, lors de son discours de Ouagadougou, le 28 novembre 2017, en revendiquant un « changement de paradigme » dans les relations France-Afrique, l'examen critique du récent sommet du 18 mai 2021, à Paris, sur le financement des économies africaines, atteste son inscription dans l'orbite néocoloniale de la Françafrique."
O fardo da raça,Achille Mbembe,,,1,/book/show/43333063-o-fardo-da-ra-a,Achille Mbembe,
Beyond the Postcolony: On Achille Mbembe's Planetary Justice and Ethics (Philosophie – Aufklärung – Kritik Book 19),Korassi Téwéché,,,1,/book/show/247192332-beyond-the-postcolony,Achille Mbembe,
On the Postcolony (Studies on the History of Society & Culture) by Achille Mbembe (2001-06-13),Unknown Author,,,1,/book/show/195452355-on-the-postcolony-studies-on-the-history-of-society-culture-by-achil,Achille Mbembe,
Piliers d'une promotion de la paix chez Jean-Marc Ela et Achille Mbembe,Jean Baptiste Bikena Tonye,,,1,/book/show/216938959-piliers-d-une-promotion-de-la-paix-chez-jean-marc-ela-et-achille-mbembe,Achille Mbembe,"Les nombreuses situations de tension et de précarité qu'on note au Cameroun démontrent que les questions de paix y sont encore d'actualité. Face à cette réalité, l'Église catholique au Cameroun dans sa mission évangélisatrice ne saurait rester indifférente. Cet ouvrage se veut une contribution à la consolidation des différents efforts de promotion de la paix au Cameroun. L'apport des éminents penseurs Jean-Marc Ela (théologien et sociologue) et Achille Mbembe (historien et philosophe) est d'une importance capitale. Car leurs pensées, savamment conjuguées et véhiculées avec une attention pédagogique adéquate, peuvent renouveler voire révolutionner, grâce à l'interdisciplinarité qui caractérise leurs oeuvres, la promotion de la paix au Cameroun, en Afrique et ailleurs."
"Politik zwischen Leben und Tod. Der Begriff der Biopolitik bei Michel Foucault, Giorgio Agamben und Achille Mbembe by Julia Sterzer (2015-01-05)",Unknown Author,,,1,/book/show/200760688-politik-zwischen-leben-und-tod-der-begriff-der-biopolitik-bei-michel-fo,Achille Mbembe,
African Futures by Achille Mbembe (2016-09-27),Lien Heidenreich-Seleme,,,2,/book/show/165682476-african-futures-by-achille-mbembe,Achille Mbembe,"In this review, African artists, scholars and cultural producers share their positions on the future of literature, film, performance, the visual arts, music and science. Artists include Keziah Jones, Spoek Mathambo, Just A Band, Gato Preto, Kapwani Kiwanga, Nnedi Okorafor, Lauren Beukes and Faustin Linyekula."
"Emmanuel Macron, Achille Mbembe et la Françafrique: Une déconstruction théologico-politique",Benoît Awazi Mbambi Kungua,,,1,/book/show/112495744-emmanuel-macron-achille-mbembe-et-la-fran-afrique,Achille Mbembe,"Alors qu'Emmanuel Macron avait commencé son quinquennat, lors de son discours de Ouagadougou, le 28 novembre 2017, en revendiquant un « changement de paradigme » dans les relations France-Afrique, l'examen critique du récent sommet du 18 mai 2021, à Paris, sur le financement des économies africaines, atteste son inscription dans l'orbite néocoloniale de la Françafrique."
On the Postcolony (Studies on the History of Society and Culture) by Achille Mbembe (2001-11-05),Unknown Author,,,1,/book/show/195334588-on-the-postcolony-studies-on-the-history-of-society-and-culture-by-ach,Achille Mbembe,
Écrire l'Afrique-Monde,Achille Mbembe,,,6,/book/show/35623407-crire-l-afrique-monde,Achille Mbembe,"Écrire l'Afrique -Monde Sous la direction de Achille Mbembe et Felwine Sarr Ateliers de la Pensée - Dakar et Saint-Louis-du-Sénégal 2016 En ce début de siècle, l’Afrique apparaît comme l’un des théâtres principaux où se jouera l’avenir de la planète. Pour ses habitants et ses diasporas – tous ceux qui pendant longtemps ont été pris dans les rets du regard conquérant d’autrui –, le moment est propice de relancer le projet d’une pensée critique, confiante en sa propre parole, capable d’anticiper et de créer des chemins nouveaux à la mesure des défis de notre époque. Il nous a semblé qu’il fallait inventer une plate-forme libre, qui favorisât l’énonciation d’une parole plurielle, ouverte sur le large. C’est pour cette raison que s’est tenue du 28 au 31 octobre 2016 à Dakar et à Saint-Louis- du-Sénégal la première édition des Ateliers de la pensée. Une trentaine d’intellectuels et d’artistes du Continent et de ses diasporas se sont réunis pour réfléchir sur le présent et les devenirs d’une Afrique au cœur des transformations du monde contemporain. Leurs textes, présentés dans cet ouvrage, traitent de questions liées à la décolonialité, à l’élaboration d’utopies sociales, à la condition planétaire de la question africaine, à la quête de nouvelles formes de production du politique, de l’économique et du social, à l’articulation de l’universel et du singulier, à la littérature et à l’art, à la reconstruction de l’estime de soi, à la pensée de l’en-commun… Des regards croisés qui éclairent d’un jour nouveau les enjeux d’une Afrique en pleine mutation, ouverte à l’univers de la pluralité et des larges. Ce livre est un appel général et pressant à reprendre de vieux combats jamais clos et à en engager d’autres qu’appellent les temps nouveaux. Achille Mbembe et Felwine Sarr"
Cr?tica de la raz?n negra by Achille Mbembe (1900-01-01),Unknown Author,,,1,/book/show/202222976-cr-tica-de-la-raz-n-negra-by-achille-mbembe,Achille Mbembe,
"Achille Mbembe manda a real: Biopoder, necropolítica e corre pra sobreviver (QUEBRADA PENSANTE)",Maure Picat,,,1,/book/show/233791172-achille-mbembe-manda-a-real,Achille Mbembe,"Achille Mbembe manda a real – Biopoder, necropolítica e o corre pra sobreviver Na quebrada, pensar é sobrevivência. E nesse livro, Achille Mbembe troca ideia com quem vive no corre — sem filtro, sem jargão acadêmico, só a real do mundo como ele é. Aqui, a filosofia sai da torre e desce pro chão. Mbembe é traduzido em linguagem de favela, com gíria, vivência, e muito respeito pelo pensamento preto periférico. A cada capítulo, temas pesados como necropolítica, racismo estrutural, biopoder, exclusão, resistência e esperança são desdobrados em conversa direta com quem sente isso na pele — todo santo dia. O que é necropolítica quando o Estado escolhe quem vive e quem morre? O que significa resistir onde tudo falta, menos a ideia? Como a arte, o afeto e o sonho viram armas de luta? Essa obra faz parte da coleção Quebrada Pensante , criada por Maure Picat , e é feita pra quem quer pensar o mundo sem abrir mão da própria voz. Pra quem já entendeu que filosofia também nasce no barraco, no baile, no busão, no bar. Se a quebrada é o alvo do sistema, então que ela seja também o centro do pensamento."
On the Postcolony (Studies on the History of Society and Culture) by Achille Mbembe (2001-08-01),Unknown Author,,,1,/book/show/133200647-on-the-postcolony-studies-on-the-history-of-society-and-culture-by-ach,Achille Mbembe,
Piliers d'une promotion de la paix chez Jean-Marc Ela et Achille Mbembe: Pour une pastorale des jeunes en faveur de la culture de la paix au Cameroun (Études Africaines),Jean Baptiste Bikena Tonye,,,1,/book/show/96335317-piliers-d-une-promotion-de-la-paix-chez-jean-marc-ela-et-achille-mbembe,Achille Mbembe,"Les nombreuses situations de tension et de précarité qu'on note au Cameroun démontrent que les questions de paix y sont encore d'actualité. Face à cette réalité, l'Église catholique au Cameroun dans sa mission évangélisatrice ne saurait rester indifférente. Cet ouvrage se veut une contribution à la consolidation des différents efforts de promotion de la paix au Cameroun. L'apport des éminents penseurs Jean-Marc Ela (théologien et sociologue) et Achille Mbembe (historien et philosophe) est d'une importance capitale. Car leurs pensées, savamment conjuguées et véhiculées avec une attention pédagogique adéquate, peuvent renouveler voire révolutionner, grâce à l'interdisciplinarité qui caractérise leurs oeuvres, la promotion de la paix au Cameroun, en Afrique et ailleurs."
Decolonizing Knowledge and the Question of the Archive,Achille Mbembe,,,1,/book/show/40788753-decolonizing-knowledge-and-the-question-of-the-archive,Achille Mbembe,"In his lecture “Decolonizing Knowledge and the Question of the Archive”, Achille Mbembe, gives insight into his understanding of the concept of “decolonization” with respect to higher education and the universities in post-Apartheid South Africa. This document was deliberately written as a spoken text. It forms the basis of a series of public lectures given at the Wits Institute for Social and Economic Research (WISER), University of the Witwatersrand (Johannesburg), at conversations with the Rhodes Must Fall Movement at the University of Cape Town and the Indexing the Human Project, Department of Sociology and Anthropology at the University of Stellenbosch. Mbembe convincingly sets forth the necessity of a complete political, economic, social and intellectual change of higher education elaborating on the notions of “De-Westernization” and “Africanization” with reference to the thought of Frantz Fanon and Ngugi wa Thiong’o promoting the idea of a non-racial “pluriversity” as a common good. But for Mbembe it is crucial to expand this necessity for change and “an entirely new struggle” beyond the boundaries of the South-African education system towards Africa herself, the whole world, and to humanity as such and, thus, to challenge the fundaments of neo-liberalism and financialized economy, national-chauvinism, anthropocentrism and humanism, technology and science, and new forms of racism, because “true decolonization necessarily centers on ‘the destiny of humankind’ (Dubois, 1919) and not of one race, color or ethnos” (Mbembe). Living in the ‘Anthropocene’ the need for a whole new perspective on humanity and its relation to the non-human world becomes pressing when we want to prevent our own extinction."
Achille Mbembe - Postcolonialisme et management durable (Les Grands Auteurs),Doumagay Donatienne Moskolaï,,,1,/book/show/152584301-achille-mbembe---postcolonialisme-et-management-durable-les-grands-aute,Achille Mbembe,"Penseur et essayiste de l’Afrique et, plus largement du monde contemporain, Achille Mbembe ne s’intéresse pas seulement aux problématiques historiques et politiques, il a un intérêt particulier à tout ce qui est lié directement ou indirectement à la justice universelle et aux questions sociétales, morales et parfois esthétiques. Il développe sa pensée autour du postcolonialisme, entendu comme la période après la colonisation. Celui-ci revient à avoir une analyse critique de la colonisation et de ses conséquences (voire de ses méfaits) sur le présent mais ne partage pas forcément la philosophie du courant postcolonial."
Beyond the Postcolony: On Achille Mbembe’s Planetary Justice and Ethics,Korassi Téwéché,,,1,/book/show/247328667-beyond-the-postcolony,Achille Mbembe,
"Zwischen Leben und Tod. Der Begriff der Biopolitik bei Michel Foucault, Giorgio Agamben und Achille Mbembe",Hanna Rittich,,,2,/book/show/91989952-zwischen-leben-und-tod-der-begriff-der-biopolitik-bei-michel-foucault,Achille Mbembe,"Studienarbeit aus dem Jahr 2018 im Fachbereich Philosophie - Philosophie der Gegenwart, 1,3, Merz Akademie - Hochschule für Gestaltung Stuttgart, Deutsch, Diese Arbeit setzt sich mit dem Begriff der Biopolitik auseinander, wobei die Kontroverse zwischen der Befürwortung und der Dementierung des Lebens ein zentraler Bestandteil der Arbeit ist. Es sollen die Zusammenhänge zwischen Foucaults Biopolitik und Agambens Thanatopolitik, welche die Kehrseite der Biopolitik darstellt, aufgezeigt werden. Den Ausgang dieser Arbeit liefert eine Begriffseinordnung der Biopolitik, gefolgt von jener Definition, die auf Foucaults Ansichten beruht. Der Kontrast, den die Thanatopolitik von der Biopolitik abgrenzt, soll dann mit Hilfe von Agamben herausgearbeitet werden. Zum Schluss möchte ich anhand Achille Mbembes Nekropolitik eine Erweiterung Agambens Standpunkt aufzeigen. Durch seine Grundidee der Biopolitik gelang es Michel Foucault den Begriff der Macht auf eine völlig neue, fundamentale Art und Weise zu betrachten. Und zwar in einem Modell, das nicht an die Begriffe wie Souveränität oder Recht gekoppelt war. Aus diesem Modell heraus ließ sich eine Analyse der Moderne entwickeln, die den Diskurs innerhalb der Humanwissenschaften nachhaltig verändert hat. Dieses neuartige Machtkonzept, welches die Produktivität, das Leben und die Lebensprozesse in den Fokus rückt und in einem ganz deutlichen Kontrast zur Souveränitätsmacht steht, stößt jedoch auf Probleme, sobald es mit geschichtlichen Realitäten konfrontiert wird. Denn die technischen Fortschritte der Moderne haben nicht nur Errungenschaften hervorgebracht, welche das Leben fördern und erhalten sollen, sondern auch jene, die das Leben in großem Maße vernichten können. Die blutigsten Kriege und Genozide sind Teil dieser Epoche und ein fester Bestandteil der Politik."
"Poder brutal, resistência visceral",Achille Mbembe,,,1,/book/show/51519767-poder-brutal-resist-ncia-visceral,Achille Mbembe,
Nekropolitik og Afkolonisering af universitetet,Achille Joseph Mbembe,,,1,/book/show/57684077-nekropolitik-og-afkolonisering-af-universitetet,Achille Mbembe,
On Private Indirect Government,Achille Mbembe,,,4,/book/show/1103326.On_Private_Indirect_Government,Achille Mbembe,"Two hypothesis form the basis of this study. First, that development in African countries follows many models, on many time-scales; and secondly that private indirect government is taking the place of the state in controlling individual conduct. The author concludes that a new form of the organisation of power is emerging based on the control of the means of coercion - in effect, privatisation of public violence."
The Politics of Time: Imagining African Becomings,Achille Mbembe,,,5,/book/show/69696694-the-politics-of-time,Achille Mbembe,"As we enter the third decade of the twenty-first century, the world is undergoing a major historical shift: Africa, and the Global South more generally, is increasingly becoming a principal theatre in which the future of the planet plays itself out. But not only this: Africa is at the same time emerging as one of the great laboratories for novel forms of social, economic, political, intellectual, cultural, and artistic life. Often arising in unexpected places, these new forms of life materialize in practices that draw deeply from collective memory while simultaneously assuming distinctly contemporary, even futuristic, guises. In November 2017, the second session of the Ateliers de la pensée – Workshops of Thought – was held in Dakar, Senegal. Fifty African and diasporic intellectuals and artists participated and their debates unfolded along numerous thematic lines, approached from the standpoints of many different disciplines. This volume is the result of that encounter. Among the many topics discussed were the concurrence and entanglement of multiple temporalities, the politics of life in the Anthropocene, the project of decolonization, and the preservation and transmission of different ways of knowing. At a time when the world is haunted by the specter of its own end, the contributors to this volume ask whether one can, by taking Africa as a point of departure, seize hold of other options for the future – not only for Africa, but for the world.  The Politics of Time  and its companion volume,  To Write the Africa World , will be indispensable works for anyone interested in Africa – its past, present, and future – and in the new forms of critical thought emerging from Africa and the Global South."
Necropolítica seguido de Sobre el gobierno privado indirecto,Achille Mbembe,,,1,/book/show/56570804-necropol-tica-seguido-de-sobre-el-gobierno-privado-indirecto,Achille Mbembe,
Univerzalno pravo na disanje,Achille Mbembe,,,1,/book/show/60234689-univerzalno-pravo-na-disanje,Achille Mbembe,"»Ono što nam je potrebno jeste dobrovoljni i svesni prekid, prekid sa punim konsenzusom. Bez njega jedva da nam ima sutrašnjice.« (pismo iz karantina, mart 2020) Politika/ideologija Ekologija Prostor/zajednica Telo/subjekt Sociologija"
