title,author,year_published,edition_count,open_library_key,queried_author,description
The Politics of Time: Imagining African Becomings,Achille Mbembe,,5,/book/show/69696694-the-politics-of-time,Achille Mbembe,"As we enter the third decade of the twenty-first century, the world is undergoing a major historical shift: Africa, and the Global South more generally, is increasingly becoming a principal theatre in which the future of the planet plays itself out. But not only this: Africa is at the same time emerging as one of the great laboratories for novel forms of social, economic, political, intellectual, cultural, and artistic life. Often arising in unexpected places, these new forms of life materialize in practices that draw deeply from collective memory while simultaneously assuming distinctly contemporary, even futuristic, guises. In November 2017, the second session of the Ateliers de la pensée – Workshops of Thought – was held in Dakar, Senegal. Fifty African and diasporic intellectuals and artists participated and their debates unfolded along numerous thematic lines, approached from the standpoints of many different disciplines. This volume is the result of that encounter. Among the many topics discussed were the concurrence and entanglement of multiple temporalities, the politics of life in the Anthropocene, the project of decolonization, and the preservation and transmission of different ways of knowing. At a time when the world is haunted by the specter of its own end, the contributors to this volume ask whether one can, by taking Africa as a point of departure, seize hold of other options for the future – not only for Africa, but for the world.  The Politics of Time  and its companion volume,  To Write the Africa World , will be indispensable works for anyone interested in Africa – its past, present, and future – and in the new forms of critical thought emerging from Africa and the Global South."
Museum of the Revolution,Achille Mbembe,,1,/book/show/45177883-museum-of-the-revolution,Achille Mbembe,"The streets in Guy rillim s photographs function as silent witnesses to the ebb and flow of political, and social shifts of power and become a museum of the many revolutions that have taken place in African countries over the past 65 years. They reflect a new reality, distinct from the economic stagnation wrought by socialist policies that usually accompanied African nationalism, the reality of re-building and enterprise, and new sets of aspirations imbued with capitalistic values."
Apartheid Israel: The Politics of an Analogy,Sean Jacobs,,2,/book/show/25330348-apartheid-israel,Achille Mbembe,"In Apartheid The Politics of an Analogy , eighteen scholars of Africa and its diaspora reflect on the similarities and differences between apartheid-era South Africa and contemporary Israel, with an eye to strengthening and broadening today’s movement for justice in Palestine. Contributors include Andy Clarno, Bill Freund, Mahmood Mamdani, Heidi Grunebaum, Shireen Hassim, Sean Jacobs, Robin D. G. Kelley, Arianna Lissoni, Achille Mbembe, Marissa Moorman, Jon Soske, T.J. Tallie, Salim Vally."
"Decolonizing: The Curriculum, the Museum, and the Mind",Marquard Smith,,1,/book/show/53959077-decolonizing,Achille Mbembe,"'Decolonizing: The Curriculum, the Museum, and the Mind' tries to identify where we’re at and where we might be going vis-à-vis the idea of decolonizing – better, the process of decolonization – in higher education, museums and galleries, and the ongoing legacies of colonization that shape structures and infrastructures, policies and protocols, mentalities and behaviours, and minds and bodies. Co-authors: Danah Abdulla, Teresa Cisneros, Andrea Francke, Lolita Jablonskiene, Ieva Mazuraite-Novickiene, Achille Mbembe, Almira Ousmanova, Ieva Pleikiene, Marquard Smith, and Michelle Williams Gamaker."
Futurity Report,Eric C.H. De Bruyn,,1,/book/show/55847657-futurity-report,Achille Mbembe,"Not long ago, a melancholic left and a manic neoliberalism seemed to arrive at an awkward consensus: the foreclosure of futurity. Whereas the former mourned the failure of its utopian project, the latter celebrated the triumph of a global marketplace. The radical hope of realizing a singularly different, more equitable future displaced by a belief that the future had already come to pass, limiting post-historical society to an uneventful life of endless accumulation. Today, amidst an abundance of neofuturisms, posthumanisms, futurologies, speculative philosophies and accelerationist scenarios, there is as well an expanding awareness of a looming planetary catastrophe driven by the extractionist logic of capitalism. Despite this return to the future, the temporal horizon of our present moment is perhaps more aptly characterized by the “shrinking future” of just-in-time production, risk management, high-frequency trading, and the futures market. In Futurity Report, theorists, historians, and artists address the precarious futurity of the notion of the future itself."
Beautiful/Ugly: African and Diaspora Aesthetics,Sarah Nuttall,,5,/book/show/10106489-beautiful-ugly,Achille Mbembe,"In Cameroon, a monumental “statue of liberty” is made from scrap metal. In Congo, a thriving popular music incorporates piercing screams and carnal dances. When these and other instantiations of the aesthetics of Africa and its diasporas are taken into account, how are ideas of beauty reconfigured? Scholars and artists take up that question in this invigorating, lavishly illustrated collection, which includes more than one hundred color images. Exploring sculpture, music, fiction, food, photography, fashion, and urban design, the contributors engage with and depart from canonical aesthetic theories as they demonstrate that beauty cannot be understood apart from ugliness. Highlighting how ideas of beauty are manifest and how they mutate, travel, and combine across time and distance, continental and diasporic writers examine the work of a Senegalese sculptor inspired by Leni Riefenstahl’s photographs of Nuba warriors; a rich Afro-Brazilian aesthetic incorporating aspects of African, Jamaican, and American cultures; and African Americans’ Africanization of the Santería movement in the United States. They consider the fraught, intricate spaces of the urban landscape in postcolonial South Africa; the intense pleasures of eating on Réunion; and the shockingly graphic images on painted plywood boards advertising “morality” plays along the streets of Ghana. And they analyze the increasingly ritualized wedding feasts in Cameroon as well as the limits of an explicitly “African” aesthetics. Two short stories by the Mozambican writer Mia Couto gesture toward what beauty might be in the context of political failure and postcolonial disillusionment. Together the essays suggest that beauty is in some sense future-oriented and that taking beauty in Africa and its diasporas seriously is a way of rekindling hope. Contributors. Rita Barnard, Kamari Maxine Clarke, Mia Couto, Mark Gevisser, Simon Gikandi, Michelle Gilbert, Isabel Hofmeyr, William Kentridge, Dominique Malaquais, Achille Mbembe, Cheryl-Ann Michael, Celestin Monga, Sarah Nuttall, Patricia Pinho, Rodney Place, Els van der Plas, Pippa Stein, Françoise Vergès"
The End of the World: Contemporary Philosophy and Art,Marcia Sá Cavalcante Schuback,,2,/book/show/32666828-the-end-of-the-world,Achille Mbembe,"The 'end of the world' opens up philosophical questions concerning the very notion of the world, which is a fundamental element of all existential, phenomenological and hermeneutical philosophy. Is the 'end of the world' for us 'somebody's' death (the end of 'being-in-the-world') or the extinction of many or of all (the end of the world itself)? Is the erosion of the 'world' a phenomenon that does not in fact affect the notion of the world as a fundamental feature of all existential-ontological inquiry? This volume examines the present state of these concerns in philosophy, film and literature. It presents a philosophical hermeneutics of the present state of the world and explores the principal questions of the philosophical accounts of the end of the world, such as finality and finitude. It also shows how literature and cinema have ventured to express the end of the world while asking if a consequent expression of the end of the world is also an end of its expression."
Violence and Redemption (Volume 15),Candace Vogler,,1,/book/show/6382701-violence-and-redemption,Achille Mbembe,"Studying the relationship between liberalism and globalization, this special issue examines discourses and practices of violence and redemption. How do we conceptualize violence and redemption outside the terms that liberalism presents? How have social movements throughout the world responded to or engaged liberal assumptions about what constitutes a violent act? How does the experience of suffering expose the futility of the wish to redeem violence through violence? Focusing on the relationship between redemptive promises and the organization, experience, and effects of violence, these essays study the ways in which ethically charged political ambition, both liberal and nonliberal, sometimes organizes violence and sometimes attempts to heal the breach that comes in its wake. The essays examine topics such as the socioeconomic crisis in Mexico in the 1980s; continuities between plantation slavery, colonization, and the emergence of independent states as war machines in Africa; the culture of a Palestinian suicide bomber; the architecture of mass rioting and rape in Indonesia; the experience of unredeemed suffering in Herman Melville’s “Shiloh;” and the aggression of Aborigines in Australia. Contributors. Tim Blackmore, John Borneman, Gillian Cowlishaw, Richard Falk, Ken Graves, Ghassan Hage, Abidin Kusno, Eva Lipman, Claudio Lomnitz, Patchen Markell, Achille Mbembe, Laura Nader, Steven Sampson, Nancy Scheper-Hughes, Candace Vogler, Michael Warner, Margaret Werry, Richard Ashby Wilson"
"Under Siege: Four African Cities-Freetown, Johannesburg, Kinshasa, Lagos: Documenta11_Platform4",Victor Adetula,,1,/book/show/1088626.Under_Siege,Achille Mbembe,"Today the procedural mechanisms of urban studies are working to interpret new urban paradigms that a century ago were largely absent in a great many cities around the world. African cities are becoming the exemplars for the emergence of new urban formations that are of great interest to many researchers working in the social sciences. This interest has brought into critical light how new urban agglomerations, arrangements, and institutions are emerging from the inadequacies of the public sector, proposing a modernizing cultural revision and a rearrangement of many of the essential elements of familial identification and authority. Out of these transformations, many of which are improvisatory, new types of relations and exchanges, survival and subsistence, forms of solidarity and resistance are produced. It is in the polymorphous and apparently chaotic logic of the postcolonial city that we may find the signs and new codes of expression of new urban identities in formation. Under Four African Cities underlines a central paradox that seems to rule the view of African cities, namely their inherent dynamism and obsolescence, and engages different kinds of understanding of subjectivity and the cultural, political, social sphere of present day African urban conditions."
Globalization (a Public Culture Book),Arjun Appadurai,,12,/book/show/20190232-globalization,Achille Mbembe,About the Author Arjun Appadurai is Samuel N. Harper Professor of Anthropology and South Asian Languages and Civilizations at the University of Chicago. He is the author of Modernity at Large: Cultural Dimensions of Globalization.
Flow,Samir S. Patel,,1,/book/show/5923466-flow,Achille Mbembe,"-- Introduction : No where now here / Christine Y. Kim -- Flow : diaspora and Afto-cosmopolitanism / Salah Hassan -- What does Africa name? / Achille Mbembe -- Adel Abdessemed / Mai Abu ElDahab -- Joël Andrianolmearisoa / Virginie Andiamirado -- Modou Dieng / Anne Dressen -- Latifa Echakhch / Thomas J. Lax -- Mounir Fatmi / Naomi Beckwith -- Thierry Fontaine / Uri McMillan -- Nicholas Hlobo / Khwezi Gule -- The sentinel / N'Goné Fall -- Local is lekker and global is reputable : from South Africa to the world / Gabi Ngcobo -- Surely, there was a flow... : African-British artists in the twentieth century / Courtney J. Martin -- Olalekan B. Jeyifous / Kristina Van Dyke -- Moshekwa Langa / Tracy Murinik -- Ananias Léki Dago / Elizabeth Harney -- Michèle Magema / Amanda Alexander -- Mustafa Maluka / Rose Oluronke Ojo -- Thando Mana / Rory Bester -- Reunion / Segun Afolabi -- Trokon Nagbe / Rujeko Hockley -- Grace Ndiritu / Mariam Sharp -- Otobong Nkanga / Mwenya B. Kabwe -- Dawit L. Petros / Simone White -- Elias Sime / Makda Teklemichael -- Nontsikelelo ""Lolo"" Veleko / Lauren Haynes -- Lynette Yiadom-Boakye / Sarah Kent"
Le Politique par le bas en Afrique noire: Contributions a une problematique de la democratie,Jean-François Bayart,,2,/book/show/3903752-le-politique-par-le-bas-en-afrique-noire,Achille Mbembe,French
Kafka's Monkey and Other Phantoms of Africa,Seloua Luste Boulbina,,4,/book/show/53806037-kafka-s-monkey-and-other-phantoms-of-africa,Achille Mbembe,"Even though many of France's former colonies became independent over fifty years ago, the concept of ""colony"" and who was affected by colonialism remain problematic in French culture today. Seloua Luste Boulbina, an Algerian-French philosopher and political theorist, shows how the colony's structures persist in the subjectivity, sexuality, and bodily experience of human beings who were once brought together through force. This text, which combines two works by Luste Boulbina, shows how France and its former colonies are haunted by power relations that are supposedly old history, but whose effects on knowledge, imagination, emotional habits, and public controversies have persisted vividly into the present. Luste Boulbina draws on the work of Michel Foucault, Frantz Fanon, and Édouard Glissant to build a challenging, original, and intercultural philosophy that responds to blind spots of inherited political and social culture. Kafka's Monkey and Other Phantoms of Africa offers unique insights into how issues of migration, religious and ethnic identity, and postcolonial history affect contemporary France and beyond."
Publishing from the South,Sarah Nuttall,,2,/book/show/217896155-publishing-from-the-south,Achille Mbembe,"In 2022 Wits University Press marked its centenary, making it the oldest, most established university press in sub-Saharan Africa. While in part modelled on scholarly publishers from the global North, it has had to contend with the constraints of working under global South marginalisation within the university, budgetary limitations, small local markets, unequal access to international sales channels, and the privileging of English language publishing over indigenous languages. This volume explores what the Press has achieved, and what its modes of reinvention might look like. In widening and deepening our understanding of the Press as an example of a global South scholarly publisher, this volume asks how publishing can contribute to a broader understanding of Southern knowledge production. Featuring contributions from scholars, publishers and authors this multi-voiced volume showcases the history of the Press’s publishing activities over 100 from documenting its evolution through book covers and giving credence to some of the leading black intellectuals and writers of the early 20th century and the success of those works in spite of their authors’ racial marginalisation, to the role of women, both in publishing and in the spaces afforded to women’s writing on the Press’s list. The collection concludes with essays by contemporary authors who detail not only their experiences of working with Southern publishers, but also the politics and influences governing their decisions to choose the Press over a Northern publisher. Publishing from the South shows the strategies deployed by the Press to professionalise Southern knowledge making, and in the process demonstrating how university presses in the global South support the scholarly missions of their universities for both local and global audiences."
Cadastre,Aimé Césaire,1961.0,7,/book/show/6751754-cadastre,Aimé Césaire,"English, French"
"El teatro de los años 70. Diccionario de urgencia (Antonin Artaud, Benio Besson, Bertold Brecht, Peter Brook, Aimé Césaire, Friedrich Dürrenmatt, Darío Fo, Vitold Gambrowicz, Living Theater, Anatol V. Lunatcharski, Teatro Nô, Teatro norteamericano, Pie...",Ricard Salvat,1974.0,2,/book/show/127845225-el-teatro-de-los-a-os-70-diccionario-de-urgencia-antonin-artaud-benio,Aimé Césaire,Spanish
"Moi, laminaire...",Aimé Césaire,1982.0,5,/book/show/161964.Moi_laminaire_,Aimé Césaire,French
The Poet's Africa: Africanness in the Poetry of Nicolas Guillen and Aime Cesaire,Aurelia Kubayanda,1990.0,1,/book/show/161941.The_Poet_s_Africa,Aimé Césaire,"Nicolas Guillen and Aime Cesaire are considered by many critics and literary historians to be the foremost Caribbean poets of the 20th century, yet they are rarely treated together. This work deals with the two writers within a comparative framework, exploring their poetry as the exemplification of Negritude art and writing from the Caribbean. Josaphat Kubayanda uses non-canonical theories of literary and cultural analysis to discuss the relationships between creative writing, the idea of Africa, and the rediscovery of African values in the Caribbean, and to propose and demonstrate an original Caribbean poetics, anchored in Africa's cultural systems and linked to Afro-American protest thought. Each of the book's chapters focuses on an aspect of the literary development of the African heritage and of the black condition illustrated by Guillen and Cesaire. Chapter 1 offers an introduction to the genesis of Caribbean rhetorical interest in Africa, from the 1920s onward, and places Guillen and Cesaire in the context of Negritude. Chapter 2 addresses the European othering of Africa, and the Negritude critique of this within the non-African traditions. Guillen's and Cesaire's response to the European concept of the universal is discussed in chapter 3, while chapter 4 demonstrates the ways in which blackness is caught between racial otherness and trying to integrate into the Caribbean social order. The final two chapters provide an analysis of the polyrhythmic unity of the African cultural system that allows Guillen and Cesaire to make technical innovations, and a conclusion acknowledges the writers' place in Caribbean creative writing. The volume also contains an updated bibliography on Caribbean literature and the African element. This work will be a valuable reference source for courses in Caribbean and African literary studies, Latin American literature, and Afro-American and African culture, and an important addition to both public and academic libraries."
Aime Cesaire (Twayne's World Authors Series),Janis L. Pallister,1991.0,1,/book/show/161936.Aime_Cesaire,Aimé Césaire,"A pioneer of the negritude movement, the French Caribbean poet, playwright, and essayist Aime Cesaire invested even his most lyrical writing with a call for revolution and change in a prejudiced and flawed world. The narrator of his landmark work, the 1939 epic poem Cahier d'un retour au pays natal, bitterly confronts the squalor and spiritual deprivation of his homeland, Martinique. In this intense, often hermetic poem the cosmopolitan protagonist's search for identity leads him back to his origins and to a revalorization of black pride. Cesaire's equally engaging plays focus on decolonization, primarily the point at which black progressive leaders face reactionary opposition among the newly autonomous black people. Cesaire's preoccupation with the ideal black man--the ""culture hero""--prompted his dramatic retelling of the stories of such tragic figures as the Haitian revolutionary Toussaint Louverture, the Haitian ""king"" Henri Christophe, and the Congolese leader Patrice Lumumba, all of whom experienced an eminent rise to power and then a sudden fall. In this first English-language study of Cesaire's poetry collections, plays, and notable essays, Janis L. Pallister looks at the author in the context of the groundbreaking negritude and surrealism movements to which most of his writing adheres. Approaching Cesaire's work chronologically and assuming little or no knowledge of French on the part of the reader, Pallister examines the two dominant themes of Cesaire's work--the need for revolution and the paradoxes of decolonization--and explores Cesaire's struggle to reconcile his art with the demands of a political agenda (he has been mayor of Fort-de-France and a deputy to the French National Assembly). Pallister analyzes Cesaire's works as products of a particular human condition--both in a historical context and in that of the twentieth-century social, cultural, and political milieu to which they pertain--and assesses the critical trends that have arisen in connection with this influential poet, journal editor, and politician. For the student seeking a comprehensive introduction to Cesaire or the seasoned scholar in want of a handy reference, this study should prove invaluable."
Aimé Césaire: Cahier d'un Retour au Pays Natal,Abiola Irele,1994.0,1,/book/show/161955.Aim_C_saire,Aimé Césaire,"Book by Irele, Abiola"
Aime Cesaire,Gregson Davis,1997.0,3,/book/show/161932.Aime_Cesaire,Aimé Césaire,"Aime Cesaire is the best known poet in the French Caribbean. In this study Gregson Davis examines Cesaire's extraordinary dual career as writer and elected politician. As one of the most profound critics of colonialism, Cesaire, the acknowledged inventor of the famous term ""negritude,"" has been a hugely influential figure in shaping the contemporary discourse on the postcolonial predicament. Gregson Davis' account of Cesaire's intellectual growth is grounded in a careful reading of the poetry, prose and drama that illustrates the full range and depth of his literary achievement."
"Aimé Césaire, le chant blessé. Biologie et poétique. Préface de Jean Bernard.",Rene Henane,1999.0,1,/book/show/161937.Aim_C_saire_le_chant_bless_Biologie_et_po_tique_Pr_face_de_Jean_Bernard_,Aimé Césaire,Hard to Find book
Modernism & Negritude: The Poetry and Poetics of Aime Cesaire,A. James Arnold,2000.0,2,/book/show/161930.Modernism_Negritude,Aimé Césaire,"James Arnorld here presents in its political and culture context the work of the greatest visionary poet writing in French since the Romantic period. Aime' Ce'saire's surrealism is seen as subverting, in the name of black experience, the very European high moderism he assimilated and employed."
Shaping and Reshaping the Caribbean: The Work of Aime Cesaire and Rene Depestre,Martin Munro,2000.0,2,/book/show/161952.Shaping_and_Reshaping_the_Caribbean,Aimé Césaire,"The current drive in Caribbean literary studies stresses similarities and points of convergence between the various islands of the archipelago and their authors, the fundamental aim of which is to move closer to an all-encompassing theory of Caribbeanness. Martin Munro challenges this movement, and through a study of the work of Aime Cesaire and Rene Depestre, proposes an alternative vision of the present and future of Caribbean literature. The main areas of inquiry are: how these two Caribbean writers construct their sense of themselves; how they relate to the Caribbean and to the wider world; and how they have been influenced by the historical and cultural particularities of their respective islands. Aime Cesaire's sense of self and of the Caribbean is essentially shaped around the circuit triangulaire, the model of Africa/Europe/Caribbean interdependencies, ultimately inherited from the time of the slave trade. Munro shows how Cesaire views the Caribbean as a deeply traumatic, insubstantial space; how he looks to Africa for his lost sense of self; and how Europe is seen at once as the malevolent colonial power and also the home of poetry and learning. Rene Depestre's Caribbean 'shape' is quite different: Africa is relatively absent in Depestre's work; Europe is not presented as a threat; and Depestre, unlike Cesaire, sees in the Caribbean an energy and a creativity brought about by the historical fusion of disparate cultures. An important factor in 'shaping' Depestre's model of Caribbeanness is his long exile from Haiti, and Depestre's experience of exile is analysed in detail. The combination of broad contextualization, diverse theoretical approaches, and close analysis of these important writers' work, produces a strong argument against attempts to view and read writing from the Caribbean as one literature. Difference and diversity, it is argued, predominate as Caribbean writing embraces the new century, and the whole notion of Caribbeanness undergoes further processes of highly creative splintering and reshaping."
Conversation avec Aimé Césaire,Patrice Louis,2007.0,1,/book/show/26152061-conversation-avec-aim-c-saire,Aimé Césaire,"An extended conversation between Patrice Louis and Aimé Césaire -- the great Francophone poet, surrealist, anticolonialist, politician, and co-founder of the Négritude movement who hailed from Martinique."
"Not at Home in One's Home: Caribbean Self-Fashioning in the Poetry of Luis Pales Matos, Aime Cesaire and Derek Walcott",Victor Figueroa,2009.0,1,/book/show/14522389-not-at-home-in-one-s-home,Aimé Césaire,"This book examines the work of three major twentieth-century Caribbean poets: one Puerto Rican, one Martinician, and one Saint Lucian. Focusing on one major work by each poet, it follows their efforts to confront the Archipelagos historical legacy of racism and colonialism through the creation of poetic personae that unceasingly alternate between the open dialogism of political engagement and the monologic closure of lyric self-articulation."
